project_id,grantee,subgrantee,project_name,year,status,project_lead,other_project_lead,category,sub_category,recovery_domain,project_descripton,project_benefit,watershed,resource,county,HUC,geometry
10651,ecoatlas,NA,New Site 0,NA,In-progress/Implementation,NA,NA,NA,NA,NA,The primary purpose of the Project is to replace and upsize a culvert to improve the structural integrity and proper drainage to maintain the highway and protect the traveling public. The Project serves to improve water quality throughout Fraszier Creek and restore anadromous fish passage through the culvert structure.,Compensatory mitigation,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Trinity,18010211,"c(-122.97427, 40.61707)"
10320,ecoatlas,NA,Culvert 1 - PM 1.68,NA,In-progress/Implementation,NA,NA,NA,NA,NA,Not provided,Impact,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Trinity,18010211,"c(-123.5762, 40.89209)"
7861,ecoatlas,NA,Kordahl Spring Enhancement,NA,Completed,NA,NA,NA,NA,NA,"Increase/improve aquatic habitat, decrease livestock access to stream, improve/increase stream cool water habitat, increase native plant species composition, increase upland water storage capacity, increase/improve groundwater recharge, increase/improve water conservation, increase/improve water quality, increase net area of wetland; Total BMPs: 2 (Riparian fencing; Upland treated by removing 30 acres of juniper uphill from spring source, or removal, wetland created through fencing in natural spring pond that old wright creek flows into).",Repair/Maintenance,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Klamath,18010204,"c(-121.39761, 42.12342)"
11200,ecoatlas,NA,EFM Miners Meadows,NA,Planning/Scoping,NA,NA,NA,NA,NA,The goal of this project is to restore and adaptively manage approximately 200 acres of Mountain Meadows in the Scott Watershed.,Repair/Maintenance,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Siskiyou,18010208,"c(-122.88874, 41.3324)"
11170,ecoatlas,NA,Hayes Meadows,NA,Planning/Scoping,NA,NA,NA,NA,NA,The goal of this project is to restore and adaptively manage approximately 200 acres of Mountain Meadows in the Scott Watershed.,Repair/Maintenance,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Siskiyou,18010208,"c(-123.093, 41.50861)"
11162,ecoatlas,NA,Big Meadows,NA,Planning/Scoping,NA,NA,NA,NA,NA,The goal of this project is to restore and adaptively manage approximately 200 acres of Mountain Meadows in the Scott Watershed.,Repair/Maintenance,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Siskiyou,18010208,"c(-123.04665, 41.58416)"
11171,ecoatlas,NA,Meeks Meadows,NA,Planning/Scoping,NA,NA,NA,NA,NA,The goal of this project is to restore and adaptively manage approximately 200 acres of Mountain Meadows in the Scott Watershed.,Repair/Maintenance,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Siskiyou,18010208,"c(-122.95903, 41.37896)"
11167,ecoatlas,NA,Sniktaw Meadows,NA,Planning/Scoping,NA,NA,NA,NA,NA,The goal of this project is to restore and adaptively manage approximately 200 acres of Mountain Meadows in the Scott Watershed.,Repair/Maintenance,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Siskiyou,18010208,"c(-123.0453, 41.59745)"
11168,ecoatlas,NA,East Boulder Meadow Complex,NA,Planning/Scoping,NA,NA,NA,NA,NA,The goal of this project is to restore and adaptively manage approximately 200 acres of Mountain Meadows in the Scott Watershed.,Repair/Maintenance,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Siskiyou,18010208,"c(-122.78737, 41.2329)"
11169,ecoatlas,NA,EFM French Meadows,NA,Planning/Scoping,NA,NA,NA,NA,NA,The goal of this project is to restore and adaptively manage approximately 200 acres of Mountain Meadows in the Scott Watershed.,Repair/Maintenance,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Siskiyou,18010208,"c(-122.90495, 41.34653)"
8347,ecoatlas,NA,"Hwy 161, Lost River Bridge Replacement",NA,Construction completed,NA,NA,NA,NA,NA,"The Lost River Bridge is located on the California and Oregon border where State Route 161 crosses the Lost River, approximately 0.3 miles west of the town of Hatfield. The existing 241.5 foot long and 30 foot wide bridge will be replaced with a 261 foot long and 42.3 foot wide reinforced steel bridge.",Compensatory mitigation,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Siskiyou,18010204,"c(-121.52251, 41.99831)"
7867,ecoatlas,NA,Ady Canal Recirculation,NA,Completed,NA,NA,NA,NA,NA,"Objectives: Increase water supply for downstream Klamath water users, Increase water supply to Klamath River; Goals: Reduce conflict over water use in the Klamath Basin and downstream California; Total BMPs: 0.",Repair/Maintenance,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Klamath,18010204,"c(-121.23828, 41.7953)"
8405,ecoatlas,NA,"CDOT - Highway 161, Lost River Bridge Replacement",NA,Completed,NA,NA,NA,NA,NA,Not provided,Impact,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Siskiyou,18010204,"c(-121.52251, 41.99831)"
7852,ecoatlas,NA,UKSIP Sevenmile Treatment Wetlands,NA,In-progress/Implementation,NA,NA,NA,NA,NA,"Test design and quantify nutrient removal potential of DSTWs, increase/improve water quality, increase vegetation to filter runoff; Total BMPs: 1 (2 Wetland restoration).",Repair/Maintenance,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Klamath,18010203,"c(-122.055, 42.67252)"
7854,ecoatlas,NA,Upper Sevenmile Creek Critical Habitat,NA,Completed,NA,NA,NA,NA,NA,"Improve/increase stream rearing habitat, improve/increase stream pools, improve/increase stream off-channel habitat, improve/increase stream interaction with floodplain, improve/increase stream flow, improve/increase stream cool water habitat, improve/increase fish passage, improve/increase stream summer habitat; Total BMPs: 1 (Instream water right transfers/leases).",Repair/Maintenance,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Klamath,18010203,"c(-122.07296, 42.69295)"
