subbasin,data_type,species,timeframe,source,start,end,within_timeframe,species_group
klamath,escapement,UTKR Chinook,2015,USFWS,NA,NA,FALSE,chinook
klamath,escapement,UTKR Chinook,2019,USFWS,NA,NA,FALSE,chinook
klamath,escapement,UTKR Chinook,2021,USFWS,NA,NA,FALSE,chinook
klamath,escapement,UTKR Chinook,2022,USFWS,NA,NA,FALSE,chinook
klamath,escapement,UTKR Chinook,2016,USFWS,NA,NA,FALSE,chinook
klamath,escapement,UTKR Chinook,2018,USFWS,NA,NA,FALSE,chinook
klamath,escapement,UTKR Chinook,2009,USFWS,NA,NA,FALSE,chinook
klamath,escapement,UTKR Chinook,2010,USFWS,NA,NA,FALSE,chinook
klamath,escapement,UTKR Chinook,2011,USFWS,NA,NA,FALSE,chinook
klamath,escapement,UTKR Chinook,2014,USFWS,NA,NA,FALSE,chinook
klamath,escapement,UTKR Chinook,2020,USFWS,NA,NA,FALSE,chinook
klamath,fish survival,Coho,2008,USGS,2006,2009,TRUE,coho
klamath,management,All Salmon,2003,CDFW,NA,NA,FALSE,all salmonids
lower klamath,juvenile monitoring,NA,2017,USFWS,NA,NA,FALSE,NA
trinity,escapement,All Salmon,2010,CDFW,NA,NA,FALSE,all salmonids
mid klamath,flow,NA,NA,NOAA,NA,NA,FALSE,NA
klamath,water temperature,NA,2012,OTHER,NA,NA,FALSE,NA
klamath,fish health,NA,2003,YUROK,NA,NA,FALSE,NA
klamath,water quality,NA,2000,YUROK,NA,NA,FALSE,NA
klamath,water quality,NA,2002,YUROK,NA,NA,FALSE,NA
klamath,water quality,NA,2006,YUROK,NA,NA,FALSE,NA
klamath,water quality,NA,2007,YUROK,NA,NA,FALSE,NA
klamath,water quality,NA,2008,YUROK,NA,NA,FALSE,NA
klamath,water quality,NA,2009,YUROK,NA,NA,FALSE,NA
klamath,water quality,NA,2010,YUROK,NA,NA,FALSE,NA
klamath,water quality,NA,2011,YUROK,NA,NA,FALSE,NA
klamath,water quality,NA,2012,YUROK,NA,NA,FALSE,NA
klamath,water quality,NA,2013,YUROK,NA,NA,FALSE,NA
klamath,water quality,NA,2014,YUROK,NA,NA,FALSE,NA
klamath,water quality,NA,2015,YUROK,NA,NA,FALSE,NA
klamath,water quality,NA,2016,YUROK,NA,NA,FALSE,NA
klamath,water quality,NA,2017,YUROK,NA,NA,FALSE,NA
klamath,water quality,NA,2018,YUROK,NA,NA,FALSE,NA
klamath,water quality,NA,2019,YUROK,NA,NA,FALSE,NA
klamath,operations,NA,2023,USBR,NA,NA,FALSE,NA
trinity,fish survival,Coho,2008,USGS,NA,NA,FALSE,coho
trinity,habitat,UTKR Chinook,2013,USFWS,NA,NA,FALSE,chinook
trinity,habitat,UTKR Chinook,2014,USFWS,NA,NA,FALSE,chinook
trinity,habitat,UTKR Chinook,2018,USFWS,NA,NA,FALSE,chinook
trinity,habitat,UTKR Chinook,2011,USFWS,NA,NA,FALSE,chinook
trinity,habitat,UTKR Chinook,2010,USFWS,NA,NA,FALSE,chinook
trinity,habitat,NA,2020,USFWS,NA,NA,FALSE,NA
trinity,habitat,UTKR Chinook,2015,USFWS,NA,NA,FALSE,chinook
trinity,water temperature,All Salmon,2016,CDFW,NA,NA,FALSE,all salmonids
klamath,escapement,NA,2015,CDFW,NA,NA,FALSE,NA
klamath,escapement,NA,2016,CDFW,NA,NA,FALSE,NA
klamath,escapement,NA,2017,CDFW,NA,NA,FALSE,NA
klamath,escapement,NA,2018,CDFW,NA,NA,FALSE,NA
