subbasin,data_type,data_collection_type,species,location,description,timeframe,source,where_learned_about,references,notes,machine_readable,pdf_title,subject,author,,,,,,,,,,,
mid klamath,fish population estimates,spawning survey,,,"Klamath/Six Rivers NF, Mid Klamath Watershed Council, Karuk Tribe, CDFW",?,,IFRMP Phase 4 Report,,,,,,,,,,,,,,,,,
mid klamath,fish population estimates,spawning survey,,,"Six Rivers NF, Mid Klamath Watershed Council, Karuk Tribe",?,,IFRMP Phase 4 Report,,,,,,,,,,,,,,,,,
mid klamath,flow,base flow,,,USFS,?,,IFRMP Phase 4 Report,,,,,,,,,,,,,,,,,
mid klamath,water quality,sediment,,,"Karuk Tribe, USGS",?,,IFRMP Phase 4 Report,,,,,,,,,,,,,,,,,
sprague,habitat,habitat maps,,,Beaver Management Team of Klamath Watershed Partnership,?,,IFRMP Phase 4 Report,,,,,,,,,,,,,,,,,
upper klamath river,flow,,,"Below Keno Dam; Below JC Boyle Dam; Iron Gate; Seiad Vallye; Orleans; Klamath, CA; Shasta R; Scott R; Salmon R; Trinity R",USGS; Karuk Tribe,?,,IFRMP Phase 4 Report,,,,,,,,,,,,,,,,,
upper klamath river,water quality,,,"Below Keno Dam; Below JC Boyle Dam; Iron Gate; Seiad Vallye; Orleans; Klamath, CA; Shasta R; Scott R; Salmon R; Trinity R",USGS; Karuk Tribe,?,,IFRMP Phase 4 Report,,,,,,,,,,,,,,,,,
upper klamath river,water temperature,,,"Below Keno Dam; Below JC Boyle Dam; Iron Gate; Seiad Vallye; Orleans; Klamath, CA; Shasta R; Scott R; Salmon R; Trinity R",USGS; Karuk Tribe,?,,IFRMP Phase 4 Report,,,,,,,,,,,,,,,,,
klamath,escapement,spawning survey,UTKR Chinook,,Klamath River Carcass and Redd Surveys – 2015 Summary,2015,USFWS,,https://www.fws.gov/sites/default/files/documents/KlamathSpawnSummary2015.pdf,usfws klamath salmon data,,,,,,,,,,,,,,,
klamath,escapement,spawning survey,UTKR Chinook,,Klamath River Carcass and Redd Surveys – 2019 Summary,2019,USFWS,,https://www.fws.gov/sites/default/files/documents/Klamath%20Spawn%20summary%202019.pdf,usfws klamath salmon data,,,,,,,,,,,,,,,
klamath,escapement,spawning survey,UTKR Chinook,,Klamath River Carcass and Redd Surveys – 2021 Summary,2021,USFWS,,https://www.fws.gov/sites/default/files/documents/Klamath%20Spawn%202021%20Summary.pdf,usfws klamath salmon data,,,,,,,,,,,,,,,
klamath,escapement,spawning survey,UTKR Chinook,,Klamath River Carcass and Redd Surveys Final Update – 2022,2022,USFWS,,https://www.fws.gov/sites/default/files/documents/Klamath%20Spawn%20Final%20Update%2002dec2022.pdf,usfws klamath salmon data,,,,,,,,,,,,,,,
