,Escapement,95% confidence limits,,,,,,,
Year,estimate,Lower Upper,Estimator,,,,,,
2001,"7,828","7,253 8,403",Petersen,,,,,,
2002,"14,394","13,934 14,855",Petersen,,,,,,
2003,"12,958","12,274 13,642",Petersen,,,,,,
2004,"4,715","4,469 4,960",Petersen,,,,,,
2005,"4,585","3,860 5,309",Petersen,,,,,,
2006,"3,587","3,296 3,879",Petersen,,,,,,
2007,"5,523","5,273 5,774",Petersen,,,,,,
2008,"4,894","4,649 5,140",Petersen,,,,,,
2009,"4,427","4,238 4,615",Petersen,,,,,,
2010,"2,572","2,362 2,782",Petersen,,,,,,
2011,"4,880","4,551 5,209",Petersen,,,,,,
2012,"12,626","9,592 16,721",AUC,,,,,,
2013,"7 ,358","5,902 21,161",AUC,,,,,,
2014,"1 6,720","13,676 23,021",AUC,,,,,,
2015,"2 ,507","1,883 3,305",AUC,,,,,,
2016,7 46,590 962,HLVM,,,,,,
2017,"4 ,740","3,955 6,564",HLVM,,,,,,
,,,,,Age,,,,
Year,,2,,3,,4,5,,Adults a
2001,734,-9.40%,,"3,479 (44.4%)",,"3,616 (46.2%)",0(0.0%),,"7,095"
2002,424,-2.90%,,"7,189 (49.9%)",,"6,743 (46.8%)",37(0.3%),,"13,970"
2003,215,-1.70%,,"5,957 (46.0%)",,"6,706 (51.8%)",80(0.6%),,"12,743"
2004,184,-3.90%,,"1,107 (23.5%)",,"3,349 (71.0%)",75(1.6%),,"4,531"
2005,4,-0.10%,,"2,092 (45.6%)",,"1,673 (36.5%)",816 (17.8%),,"4,581"
2006,567 (15.8%),,,"1,030 (28.7%)",,"1,873 (52.2%)",118(3.3%),,"3,021"
2007,73,-1.30%,,"5,032 (91.1%)",,397(7.2%),21(0.4%),,"5,450"
2008,836 (17.1%),,,950 (19.4%),,"3,075 (62.8%)",33(0.7%),,"4,058"
2009,157,-3.60%,,"3,162 (71.4%)",,"1,001 (22.6%)",107(2.4%),,"4,270"
2010,176,-6.80%,,"1,091 (42.4%)",,"1,294 (50.3%)",12(0.5%),,"2,398"
2011,"2,229 (45.7%)",,,"1,133 (23.2%)",,"1,511 (31.0%)",6(0.1%),,"2,651"
2012,"1,186",-9.40%,,"10,382 (82.2%)",,"1,058(8.4%)",0(0.0%),,"11,440"
2013,393,-5.30%,,"2,951 (40.1%)",,"4,015 (54.6%)",0(0.0%),,"6,965"
2014,"1,271",-7.60%,,"6,477 (38.7%)",,"8,862 (53.0%)",110(0.7%),,"15,449"
2015,85,-3.40%,,"1,036 (41.3%)",,"1,264 (50.4%)",122(4.9%),,"2,422"
2016,39,-5.20%,,236 (31.6%),,471 (63.1%),0(0.0%),,707
2017,"1,749 (36.9%)",,,"2,376 (50.1%)",,550 (11.6%),65(1.4%),,"2,991"
