project_id,grantee,subgrantee,project_name,year,status,project_lead,other_project_lead,category,sub_category,recovery_domain,goal,project_benefit,watershed,resource
17466,OWEB,NA,NA,2015,complete,NA,NA,Upland,NA,Klamath,improve/increase stream flow,Total acres treated (upland activities),18010203,OWRI: https://tools.oregonexplorer.info/OE_HtmlViewer/Index.html?viewer=owrt
17466,OWEB,NA,NA,2015,complete,NA,NA,Upland,NA,Klamath,decrease erosion/stream sedimentation,Total acres treated (upland activities),18010203,OWRI: https://tools.oregonexplorer.info/OE_HtmlViewer/Index.html?viewer=owrt
17466,OWEB,NA,NA,2015,complete,NA,NA,Upland,NA,Klamath,increase/improve water quality,Total acres treated (upland activities),18010203,OWRI: https://tools.oregonexplorer.info/OE_HtmlViewer/Index.html?viewer=owrt
17487,OWEB,NA,NA,2015,complete,NA,NA,Upland,NA,Klamath,improve/increase stream flow,Total acres treated (upland activities),18010202,OWRI: https://tools.oregonexplorer.info/OE_HtmlViewer/Index.html?viewer=owrt
17487,OWEB,NA,NA,2015,complete,NA,NA,Upland,NA,Klamath,"increase wildlife habitat (vegetation for food, cover, or nesting)",Total acres treated (upland activities),18010202,OWRI: https://tools.oregonexplorer.info/OE_HtmlViewer/Index.html?viewer=owrt
17487,OWEB,NA,NA,2015,complete,NA,NA,Upland,NA,Klamath,increase native plant species composition,Total acres treated (upland activities),18010202,OWRI: https://tools.oregonexplorer.info/OE_HtmlViewer/Index.html?viewer=owrt
17637,OWEB,NA,NA,2015,complete,NA,NA,Upland,NA,Klamath,increase/improve water conservation,Total acres treated (upland activities),18010204,OWRI: https://tools.oregonexplorer.info/OE_HtmlViewer/Index.html?viewer=owrt
18749,OWEB,NA,NA,2015,complete,NA,NA,Upland,NA,Klamath,increase/improve groundwater recharge,Total acres treated (upland activities),18010204,OWRI: https://tools.oregonexplorer.info/OE_HtmlViewer/Index.html?viewer=owrt
18764,OWEB,NA,NA,2015,complete,NA,NA,Upland,NA,Klamath,"increase wildlife habitat (vegetation for food, cover, or nesting)",Total acres treated (upland activities),18010204,OWRI: https://tools.oregonexplorer.info/OE_HtmlViewer/Index.html?viewer=owrt
18764,OWEB,NA,NA,2015,complete,NA,NA,Upland,NA,Klamath,increase/improve groundwater recharge,Total acres treated (upland activities),18010204,OWRI: https://tools.oregonexplorer.info/OE_HtmlViewer/Index.html?viewer=owrt
17705,OWEB,NA,NA,2015,complete,NA,NA,Instream,NA,Klamath,improve/increase stream interaction with floodplain,Total miles of stream treated (instream activities),18010202,OWRI: https://tools.oregonexplorer.info/OE_HtmlViewer/Index.html?viewer=owrt
18721,OWEB,NA,NA,2015,complete,NA,NA,Instream,NA,Klamath,improve/increase stream structure & complexity,Total miles of stream treated (instream activities),18010203,OWRI: https://tools.oregonexplorer.info/OE_HtmlViewer/Index.html?viewer=owrt
18721,OWEB,NA,NA,2015,complete,NA,NA,Instream,NA,Klamath,improve/increase stream gravel recruitment,Total miles of stream treated (instream activities),18010203,OWRI: https://tools.oregonexplorer.info/OE_HtmlViewer/Index.html?viewer=owrt
18721,OWEB,NA,NA,2015,complete,NA,NA,Instream,NA,Klamath,improve/increase stream spawning habitat,Total miles of stream treated (instream activities),18010203,OWRI: https://tools.oregonexplorer.info/OE_HtmlViewer/Index.html?viewer=owrt
18721,OWEB,NA,NA,2015,complete,NA,NA,Instream,NA,Klamath,improve/increase stream rearing habitat,Total miles of stream treated (instream activities),18010203,OWRI: https://tools.oregonexplorer.info/OE_HtmlViewer/Index.html?viewer=owrt
18721,OWEB,NA,NA,2015,complete,NA,NA,Instream,NA,Klamath,improve/increase stream pools,Total miles of stream treated (instream activities),18010203,OWRI: https://tools.oregonexplorer.info/OE_HtmlViewer/Index.html?viewer=owrt
18721,OWEB,NA,NA,2015,complete,NA,NA,Instream,NA,Klamath,improve/increase stream refuge cover,Total miles of stream treated (instream activities),18010203,OWRI: https://tools.oregonexplorer.info/OE_HtmlViewer/Index.html?viewer=owrt
18721,OWEB,NA,NA,2015,complete,NA,NA,Instream,NA,Klamath,increase future LWD recruitment to stream,Total miles of stream treated (instream activities),18010203,OWRI: https://tools.oregonexplorer.info/OE_HtmlViewer/Index.html?viewer=owrt
18721,OWEB,NA,NA,2015,complete,NA,NA,Instream,NA,Klamath,increase/improve aquatic habitat,Total miles of stream treated (instream activities),18010203,OWRI: https://tools.oregonexplorer.info/OE_HtmlViewer/Index.html?viewer=owrt
18721,OWEB,NA,NA,2015,complete,NA,NA,Instream,NA,Klamath,improve/increase stream structure & complexity,Total number of pools expected to be created by channel structure placement treatments,18010203,OWRI: https://tools.oregonexplorer.info/OE_HtmlViewer/Index.html?viewer=owrt
18721,OWEB,NA,NA,2015,complete,NA,NA,Instream,NA,Klamath,improve/increase stream gravel recruitment,Total number of pools expected to be created by channel structure placement treatments,18010203,OWRI: https://tools.oregonexplorer.info/OE_HtmlViewer/Index.html?viewer=owrt
18721,OWEB,NA,NA,2015,complete,NA,NA,Instream,NA,Klamath,improve/increase stream spawning habitat,Total number of pools expected to be created by channel structure placement treatments,18010203,OWRI: https://tools.oregonexplorer.info/OE_HtmlViewer/Index.html?viewer=owrt
18721,OWEB,NA,NA,2015,complete,NA,NA,Instream,NA,Klamath,improve/increase stream rearing habitat,Total number of pools expected to be created by channel structure placement treatments,18010203,OWRI: https://tools.oregonexplorer.info/OE_HtmlViewer/Index.html?viewer=owrt
18721,OWEB,NA,NA,2015,complete,NA,NA,Instream,NA,Klamath,improve/increase stream pools,Total number of pools expected to be created by channel structure placement treatments,18010203,OWRI: https://tools.oregonexplorer.info/OE_HtmlViewer/Index.html?viewer=owrt
18721,OWEB,NA,NA,2015,complete,NA,NA,Instream,NA,Klamath,improve/increase stream refuge cover,Total number of pools expected to be created by channel structure placement treatments,18010203,OWRI: https://tools.oregonexplorer.info/OE_HtmlViewer/Index.html?viewer=owrt
18721,OWEB,NA,NA,2015,complete,NA,NA,Instream,NA,Klamath,increase future LWD recruitment to stream,Total number of pools expected to be created by channel structure placement treatments,18010203,OWRI: https://tools.oregonexplorer.info/OE_HtmlViewer/Index.html?viewer=owrt
18721,OWEB,NA,NA,2015,complete,NA,NA,Instream,NA,Klamath,increase/improve aquatic habitat,Total number of pools expected to be created by channel structure placement treatments,18010203,OWRI: https://tools.oregonexplorer.info/OE_HtmlViewer/Index.html?viewer=owrt
18721,OWEB,NA,NA,2015,complete,NA,NA,Instream,NA,Klamath,improve/increase stream structure & complexity,Total number of habitat structures placed in channel,18010203,OWRI: https://tools.oregonexplorer.info/OE_HtmlViewer/Index.html?viewer=owrt
18721,OWEB,NA,NA,2015,complete,NA,NA,Instream,NA,Klamath,improve/increase stream gravel recruitment,Total number of habitat structures placed in channel,18010203,OWRI: https://tools.oregonexplorer.info/OE_HtmlViewer/Index.html?viewer=owrt
18721,OWEB,NA,NA,2015,complete,NA,NA,Instream,NA,Klamath,improve/increase stream spawning habitat,Total number of habitat structures placed in channel,18010203,OWRI: https://tools.oregonexplorer.info/OE_HtmlViewer/Index.html?viewer=owrt
18721,OWEB,NA,NA,2015,complete,NA,NA,Instream,NA,Klamath,improve/increase stream rearing habitat,Total number of habitat structures placed in channel,18010203,OWRI: https://tools.oregonexplorer.info/OE_HtmlViewer/Index.html?viewer=owrt
18721,OWEB,NA,NA,2015,complete,NA,NA,Instream,NA,Klamath,improve/increase stream pools,Total number of habitat structures placed in channel,18010203,OWRI: https://tools.oregonexplorer.info/OE_HtmlViewer/Index.html?viewer=owrt
18721,OWEB,NA,NA,2015,complete,NA,NA,Instream,NA,Klamath,improve/increase stream refuge cover,Total number of habitat structures placed in channel,18010203,OWRI: https://tools.oregonexplorer.info/OE_HtmlViewer/Index.html?viewer=owrt
18721,OWEB,NA,NA,2015,complete,NA,NA,Instream,NA,Klamath,increase future LWD recruitment to stream,Total number of habitat structures placed in channel,18010203,OWRI: https://tools.oregonexplorer.info/OE_HtmlViewer/Index.html?viewer=owrt
