project_id,grantee,subgrantee,name,year,status,project_lead,other_lead,category,subcategory,state,description,benefit,resource
Klamath Basin Project Awards,USFW,NA,Yurok Tribal Capacity ,2022,New,NA,NA,NA,NA,CA,The Yurok Tribe Fisheries Department (YTFD) has made enormous contributions to the restoration of the Lower Klamath River Basin. This funding will add capacity so that the Tribe can continue to meet and expand its priority fish restoration efforts. The position will be funded for two years.  ,NA,https://www.fws.gov/program/klamath-basin-project-awards
Klamath Basin Project Awards,USFW,NA,Waukel Creek and Junior Creek Culvert Replacement ,2022,New,NA,NA,NA,NA,CA,"Funding for this project will be to help the Resighini Rancheria replace existing culverts that create public safety concerns and limit access to important coho salmon habitat. On Waukel Creek, the existing 49-foot long, 10-foot diameter culvert will be removed and replaced. Regular flooding of the roadway during major storm events occurs because the culvert is undersized and filled with sediment. The new culvert has been designed to accommodate the 100-year flood event on Waukel Creek concurrent with a 5-year Klamath River flood event, which will alleviate the regular seasonal flooding, including water overtopping Klamath Beach Road. On Junior Creek, the existing 305-foot long and 6-foot diameter culvert that goes under the Nepuey Road and Klamath Beach Road intersection will be removed and replaced. The new culvert will be able to accommodate a 100-year flood event and help alleviate the regular seasonal flooding, including water overtopping Nepuey Road.   ",NA,https://www.fws.gov/program/klamath-basin-project-awards
Klamath Basin Project Awards,USFW,NA,McGarvey Creek Restoration and Effectiveness Monitoring ,2022,New,NA,NA,NA,NA,CA,"Funds will be used to maintain beaver dam analogue (BDA) sites within the McGarvey Creek watershed, and implement new, innovative restoration techniques in upper McGarvey Creek. Funds will also be used to assess restoration effectiveness of BDAs and other process-based restoration performance as a fisheries recovery tool and help guide and improve future restoration actions. ",NA,https://www.fws.gov/program/klamath-basin-project-awards
Klamath Basin Project Awards,USFW,NA,Terwer Creek Riparian Habitat Enhancement ,2022,New,NA,NA,NA,NA,CA,"Funding will be used for riparian stewardship actions within lower Terwer Creek to improve habitat. Native trees and shrubs will be planted in key locations and vegetation will be monitored for survival and plant success within a two-mile reach of lower Terwer Creek. Promoting formation and maintenance of vegetated islands and healthy, resilient riparian forests is a priority ecological need and a focus of this project.     ",NA,https://www.fws.gov/program/klamath-basin-project-awards
Klamath Basin Project Awards,USFW,NA,Ah Pah Creek Stream and Floodplain Habitat ,2022,New,NA,NA,NA,NA,CA,"Funding will be used to design, plan for, and implement comprehensive stream and floodplain habitat enhancement actions within the Ah Pah Creek watershed. Proposed actions will focus on coordinating with a private timber company to reduce the footprint of floodplain roads and landings, installation of constructed wood jams, and promotion of side channel and backwater habitat formation and maintenance. The first phases of habitat enhancement will occur within the vicinity of the confluence with South Fork and mainstem Ah Pah Creek and reaches downstream.  ",NA,https://www.fws.gov/program/klamath-basin-project-awards
Klamath Basin Project Awards,USFW,NA,Blue Creek Sanctuary habitat improvement and bridge crossing replacement project ,2022,New,NA,NA,NA,NA,CA,Funding will be used for improving stream and riparian habitats in the Yurok Tribe Blue Creek Sanctuary. Wood jams and other habitat structures will be constructed and installed. Off-channel and wetland habitats will be enhanced. Riparian treatments will be implemented in order to reduce invasive species impacts and increase native species productivity and resiliency. The project would also fund replacement of a bridge crossing West Fork Blue Creek that provides access to critically valuable habitats within this sub-basin and the upper reaches of Blue Creek. The existing bridge is unable to accommodate heavy equipment and thus needs to be replaced to facilitate watershed restoration and long-term stewardship within this vitally important sub-watershed.    ,NA,https://www.fws.gov/program/klamath-basin-project-awards
Klamath Basin Project Awards,USFW,NA,Weitchpec Fisheries Research Center ,2022,New,NA,NA,NA,NA,CA,"Funding for the construction of the Weitchpec Fisheries Research Center, located on the Yurok Reservation in Weitchpec, CA. This building and site would consist of eight office spaces, a conference room, a laboratory, boat/equipment storage, work areas for technical staff, and would be a hub for Yurok Tribe Fisheries Department and the Yurok Natural Resources staff on the upper Yurok Reservation. This center will benefit the Yurok Tribe because of its remote location, and the additional data, restoration and monitoring that will result from the construction of this structure , will add to the body of scientific knowledge and restoration potential of the entire Klamath Basin.  ",NA,https://www.fws.gov/program/klamath-basin-project-awards
Klamath Basin Project Awards,USFW,NA,Weaver Basin Improvement Planning Project ,2022,New,NA,NA,NA,NA,CA,"Funding for this project will evaluate the feasibility of expanding upon existing Weaver Creek restoration plans with additional scope of work, design, and permitting analysis. Funds will be used to assess bridge and road improvement, recreational trail and green space development, integration with other surrounding restoration efforts in the Weaver Basin, and community development. This effort would help inform potential additional opportunities for habitat improvements.  ",NA,https://www.fws.gov/program/klamath-basin-project-awards
Klamath Basin Project Awards,USFW,NA,Oregon Gulch Project on Mainstem Trinity River ,2022,New,NA,NA,NA,NA,CA,"Funding will be used, in part, to fund removal of over 330,000 cubic yards of mining tailings to address intense disturbances to the Trinity River and valley caused by historical gold mining. During the period of upslope hydraulic mining in the late 19th century, mining debris washed off the hillslope buried the historical valley bottom, and subsequent dredging in the first half of the 20th century coupled with fluvial incision left a narrow canal-like channel with almost no functional floodplain area. This resulted in a section of river with extremely poor rearing, spawning, and adult holding habitat with pronounced limitations to rearing habitat capacity between frequent river flows of 450 cfs and 8000 cfs. The project site is located just below the Sheridan Riffle which has the highest density of natural spawning in the restoration reach of the main stem Trinity River. ",NA,https://www.fws.gov/program/klamath-basin-project-awards
Klamath Basin Project Awards,USFW,NA,Hospital Creek In-Stream Barrier Removal Design and Build Project ,2022,New,NA,NA,NA,NA,CA,"Funding will be used to develop and implement engineered designs to create a passage over a barrier that, once removed, will allow the native salmonids and other species to move upstream. The Highway 96 crossing over Hospital Creek in Hoopa, CA is a complete upstream barrier to all salmonids and lamprey species for all stages of development at all discharges. Currently, the downstream end of the box culvert that Hospital Creek passes through has a perched outlet that prohibits fish from entering the culvert. Four large wood materials will be incorporated into the plans and be installed using locally sourced woody material and anchored using natural boulders. ",NA,https://www.fws.gov/program/klamath-basin-project-awards
Klamath Basin Project Awards,USFW,NA,Soctish Creek Fish Passage implementation ,2022,New,NA,NA,NA,NA,CA,"Funding will be used to restore fish passage over a diversion structure by creating a 200-foot-long roughened channel ramp by increasing stream bed slope from 2.1% to 3.6% below the diversion to meet the sill elevation at the diversion. The existing water supply diversion located around 898 m upstream from the confluence of the creek and the Trinity River is a complete barrier to adult and juvenile salmonid migration during low flow conditions, and temporal barrier during higher flow conditions. Soctish Creek is a perennial cold-water tributary to the lower Trinity River located entirely on the Hoopa Valley Tribe Indian Reservation in Humboldt County, CA. Four large wood debris features will be installed using locally sourced woody material and anchored using natural boulders, providing additional habitat and channel complexity. This project will also remove debris (old cars) that were used for bank stabilization by the Army Corps of Engineers following the 1964 flood. Soctish Creek supports spawning populations of Chinook salmon, coho salmon, steelhead, lamprey, and other native fish species as well amphibian species and other native wildlife. The creek is a primary refugia for non-natal rearing ESA-listed coho salmon.  ",NA,https://www.fws.gov/program/klamath-basin-project-awards
Klamath Basin Project Awards,USFW,NA,Monitoring and Maintenance of Native Plant Installations on Mill Creek and Supply Creek ,2022,New,NA,NA,NA,NA,CA,"Funding for this project will be used to install 5,000 native tree and shrub species to further bolster the native woody plant assemblage in riparian and floodplain, remove invasive plant species, including scotch broom and Himalaya berry from within the project sites, and establish monitoring transects at Mill Creek and Supply Creek to inform plant and species survival outcomes. The monitoring methods will be qualitative (via comparison of photo points over time) as well as quantitative (via line intercept transects that will be revisited in 2024 and 2026. With this data analysis, a more comprehensive understanding of which species thrive in which area(s) will be instrumental in guiding future revegetation efforts along the Trinity River and associated tributaries. Riparian vegetation is a crucial component of healthy salmonid-bearing streams; it contributes to cooler in stream temperatures that salmonids depend on by providing shade and cover, helps stabilize banks and prevent erosion, improves water quality by filtering sediment, contributes large woody debris (LWD), and serves as a major nutrient source for riparian flora and fauna. ",NA,https://www.fws.gov/program/klamath-basin-project-awards
Klamath Basin Project Awards,USFW,NA,Red Cap Creek & Camp Creek Floodplain Restoration  ,2022,New,NA,NA,NA,NA,CA,"Funds will be to complete design plans for approximately 1.75 miles of tributary habitat that will focus on improving instream habitat, increasing off-channel rearing habitat, enhancing thermal refugia, and reconnecting historic floodplains along these tributaries. These projects are focused on restoring habitat for ESA threatened coho salmon and will benefit all three species of salmonids present each of these tributaries. The outcomes of this project will be finished designs at two project sites, covering 1.75 miles of stream and 30 acres of floodplain habitat. Funds will also be used to purchase and store large trees with rootwads attached that will be used to create in-stream wood structures that are needed to restore in stream habitat at each of the project sites.  ",NA,https://www.fws.gov/program/klamath-basin-project-awards
Klamath Basin Project Awards,USFW,NA,Karuk Tribe Spring-Run Chinook salmon Life Cycle Monitoring ,2022,New,NA,NA,NA,NA,CA,"Funding for this project will help be used to collect data in the Mid-Klamath Basin for adult spring Chinook population trends at the adult life stage by engaging the local community in a watershed wide volunteer driven surveys and build community support for fisheries protection. Funds will also be used to monitor spawning distribution, timing, and habitat use, and to collect biological samples for analysis.  Monitoring of juvenile Chinook distribution, utilization of in-stream habitats, juvenile relative abundance, fish health will also be performed. Understanding spring Chinook residency more fully will also help understand the impacts of climate change on these fish.  ",NA,https://www.fws.gov/program/klamath-basin-project-awards
Klamath Basin Project Awards,USFW,NA,Karuk Tribe Water Monitoring Program in the Mid Klamath Basin ,2022,New,NA,NA,NA,NA,CA,"Funding will be used to enhance the Tribe’s ability to quickly and efficiently respond to data requests, establish cohesive and structured storage of chemical data and physical water quality data. This project will address a data gap at the mouth of the Scott River and provide insights into how Ishi Pishi Falls functions as a hydraulic feature regarding fish migration. ",NA,https://www.fws.gov/program/klamath-basin-project-awards
Klamath Basin Project Awards,USFW,NA,Beaver Creek Helicopter Wood Loading Project ,2022,New,NA,NA,NA,NA,CA,"Funding for this project will help improve conditions for native fish and other aquatic species. Using a helicopter, this project will add 120 pieces of large wood to 2-1/2 miles of West Fork Beaver Creek in Siskiyou County, on privately owned land. These large wood structures will restore structure, spawning and rearing habitat, and floodplain connectivity. The wood structures will provide immediate benefits to native fish by providing cover and areas of low velocity habitat. Target species that will benefit from this project are Chinook salmon (fall-run), coho salmon, steelhead (spring/summer and winter), and Pacific lamprey. With dam removal on the horizon, this project is anticipated to benefit spring-run Chinook salmon as well. This project is needed because current and past land management practices including logging streambanks, road and berm building, extirpation of beavers, fire suppression have channelized streams within the Klamath Basin. ",NA,https://www.fws.gov/program/klamath-basin-project-awards
Klamath Basin Project Awards,USFW,NA,Quartz Valley Integrated Hydrological Model ,2022,New,NA,NA,NA,NA,CA,"Funding for this project will be used to improve the understanding of the integrated surface water and groundwater system in the Quartz Valley so that the Quartz Valley Indian Reservation and other water managers can effectively manage their limited water supplies. The Quartz Valley uses both surface water and groundwater to meet their water needs. Because the surface water system is fully allocated, the Quartz Valley has been relying more on groundwater to meet its increasing demands for water. Past studies have recognized the interconnection between groundwater and surface water in the Scott Valley (Hathaway, 2012), and the groundwater and surface water systems are likely connected in the Quartz Valley as well; however, this interconnection was not recognized in the adjudication and presently there are no limitations on groundwater usage. The increased use of groundwater is a major concern in the Quartz Valley. Four of the QVIR tribal wells have gone dry in recent years, which has caused concerns about available drinking water. There have also been water quality issues, including E. coli contamination. This funding will be used to develop the Quartz Valley Integrated Hydrologic Model (QVIHM). This model will build upon a groundwater model of the entire Scott River Valley Groundwater Basin called the Scott Valley Integrated Hydrologic Model, which was developed and is being maintained by a team at UC Davis to support the Scott Valley Groundwater Sustainability Plan. The QVIHM can be used to help identify strategies to help restore flows in the surface water system and restore salmon habitat in Shackleford Creek. Analysis of groundwater flow paths and other model outputs will help water managers identify management strategies to improve water quality issues. ",NA,https://www.fws.gov/program/klamath-basin-project-awards
Klamath Basin Project Awards,USFW,NA,Shackleford Creek Habitat Restoration ,2022,New,NA,NA,NA,NA,CA,"Funding for this project will be used develop an implementation plan for process-based restoration strategies to at locations along the 4,800 linear feet of channel in Shackleford Creek, located in the Scott River sub-basin. These strategies will include placement of in-channel structures that will capture sediment and reengage the floodplain and its historic channels. These changes or additions to the channel complexity will increase hydraulic residence time over a broader area and raise the local water table resulting in and enhancement to the late summer/early fall stream flows with higher quality channel habitat and opportunities for fish passage through the degraded reach. In addition to raising the water table and increasing stream flows, the increased channel complexity will support existing riparian vegetation as well as sediment capture and recruitment of emergent vegetation and associated habitat.  ",NA,https://www.fws.gov/program/klamath-basin-project-awards
Klamath Basin Project Awards,USFW,NA,Sugar Creek Coho Salmon Refugia Project ,2022,New,NA,NA,NA,NA,CA,"Funding for this project will be used to connect one acre of slow, cold-water refugia rearing habitat to one acre of floodplain habitat constructed in an earlier phase of this project. When complete, this project will result in a total two acres of new high quality rearing habitat for juvenile coho salmon, and connects Sugar Creek, a key Scott River watershed spawning and rearing stream, to the new habitat. The purpose of this project is to increase the production of Scott Watershed coho salmon, a native fish population that has been deemed hatchery influence free by NOAA, thereby supporting down listing of the species. The new permanent cold water rearing areas have been designed to withstand climate change and drought, and also provide rich food resources that allow juvenile fish to thrive and grow large, even as ambient and stream temperatures rise, thereby increasing survival into adulthood. The project builds on 10 years of restoration actions, and associated effectiveness monitoring, within Sugar Creek that demonstrated a thousand-fold increase in juvenile coho production over pre-restoration conditions.  ",NA,https://www.fws.gov/program/klamath-basin-project-awards
