subbasin,data_type,species,source,start,end,n_years,species_group
Lower Klamath,Escapement,UTKR Chinook,USFWS,2015,2015,1,Chinook
Lower Klamath,Escapement,UTKR Chinook,USFWS,2019,2019,1,Chinook
Lower Klamath,Escapement,UTKR Chinook,USFWS,2021,2021,1,Chinook
Lower Klamath,Escapement,UTKR Chinook,USFWS,2022,2022,1,Chinook
Lower Klamath,Escapement,UTKR Chinook,USFWS,2016,2016,1,Chinook
Lower Klamath,Escapement,UTKR Chinook,USFWS,2018,2018,1,Chinook
Lower Klamath,Escapement,UTKR Chinook,USFWS,2009,2009,1,Chinook
Lower Klamath,Escapement,UTKR Chinook,USFWS,2010,2010,1,Chinook
Lower Klamath,Escapement,UTKR Chinook,USFWS,2011,2011,1,Chinook
Lower Klamath,Escapement,UTKR Chinook,USFWS,2014,2014,1,Chinook
Lower Klamath,Escapement,UTKR Chinook,USFWS,2020,2020,1,Chinook
Trinity,Escapement,Steelhead,CDFW,1975,1975,1,Steelhead
Lower Klamath,Fish Health/Survival,Coho,USGS,2006,2009,3,Coho
Lower Klamath,Juvenile Monitoring,NA,USFWS,2017,2017,1,NA
Trinity,Juvenile Monitoring,NA,YUROK,2000,2000,1,NA
Lower Klamath,Fish Health/Survival,NA,YUROK,2003,2003,1,NA
Trinity,Escapement,All Salmon,CDFW,2000,2000,1,All Salmonids
Trinity,Escapement,All Salmon,CDFW,2001,2001,1,All Salmonids
Trinity,Escapement,"coho, chinook, steelhead",CDFW,2001,2001,1,All Salmonids
Trinity,Escapement,Steelhead,CDFW,2002,2002,1,Steelhead
Trinity,Escapement,"coho, chinook, steelhead",CDFW,2002,2002,1,All Salmonids
Trinity,Escapement,All Salmon,CDFW,2003,2003,1,All Salmonids
Lower Klamath,Escapement,NA,CDFW,2015,2015,1,NA
Lower Klamath,Escapement,NA,CDFW,2016,2016,1,NA
Lower Klamath,Escapement,NA,CDFW,2017,2017,1,NA
Lower Klamath,Escapement,NA,CDFW,2018,2018,1,NA
Lower Klamath,Hatchery,All Salmon,CDFW,2006,2006,1,All Salmonids
Lower Klamath,Hatchery,All Salmon,CDFW,2007,2007,1,All Salmonids
